"","x"
"268",6759.16856722432
"269",6666.6693705685
"270",6718.61203173818
"271",6944.70784099957
"272",7336.80698194416
"273",7754.27033693347
"274",7994.2861872142
"275",8123.50851265184
"276",8249.16298618885
"277",8071.9614420928
"278",7992.07265672824
"279",7918.43287348161
"280",7796.66635363774
"281",7705.12144291325
"282",7669.5857372568
"283",7829.30233015532
"284",7844.2833194402
"285",7650.8225743637
"286",7414.96592037575
"287",7216.45777493715
"288",7064.78406575313
"289",6653.64334456965
"290",6620.2546816981
"291",6600.29470005641
"292",6591.88779413189
"293",6532.10111605752
"294",6557.1485170496
"295",6775.92777912759
"296",7230.75550279763
"297",7644.74892069307
"298",7903.49301562492
"299",8017.75827478096
"300",8156.63669527829
"301",8011.78470494738
"302",7942.83062277954
"303",7918.23091359221
"304",7815.76189815702
"305",7727.85824034744
"306",7678.81279932347
"307",7780.58011452138
"308",7764.8841789842
"309",7548.06557441669
"310",7290.17085144369
"311",7061.51767332465
"312",6917.76908873693
"313",6645.67914656865
"314",6578.61677928628
"315",6564.96504927921
"316",6550.49661259215
"317",6472.22724086369
"318",6520.5694280064
"319",6756.39244785166
"320",7174.2609839014
"321",7561.56968324648
"322",7796.65513925504
"323",7913.64823567835
"324",8055.14029414993
"325",7837.00895707623
"326",7733.08375157512
"327",7656.36063244972
"328",7519.24585619706
"329",7414.15544037675
"330",7381.42926884543
"331",7553.04695871415
"332",7586.45731383399
"333",7413.05027586768
"334",7191.76488145338
"335",6985.41992018707
"336",6827.47796580795
"337",7177.16074202672
"338",7117.56807321997
"339",7123.04441981557
"340",7113.28747114826
"341",7036.0935972986
"342",7074.07350368359
"343",7306.1116733367
"344",7729.70114822452
"345",8120.84543123465
"346",8339.35777856985
"347",8401.19194358924
"348",8470.37938113055
"349",8260.50651779265
"350",8126.86587843636
"351",8027.38602334315
"352",7873.25072557812
"353",7771.71432576583
"354",7761.55917904538
"355",7987.19629817979
"356",8036.38605346688
"357",7840.01988421857
"358",7619.22268553575
"359",7431.17486004813
"360",7296.40941748997
"361",6967.56463860304
"362",6904.04454639061
"363",6892.45214649102
"364",6886.26435999783
"365",6801.66273098461
"366",6845.89948367547
"367",7105.63409361339
"368",7532.06990168261
"369",7928.62389373194
"370",8122.85745371017
"371",8176.77289503106
"372",8246.76880113804
"373",8016.79994134713
"374",7902.53989656603
"375",7806.14920339363
"376",7690.13708673832
"377",7593.71022585027
"378",7583.48132209363
"379",7772.01006087193
"380",7816.91614400086
"381",7610.50518367797
"382",7410.04100370304
"383",7200.82699442043
"384",7050.8309260543
"385",7041.25292458817
"386",6907.18338669474
"387",6926.71306497042
"388",6908.31356628954
"389",6814.16837483254
"390",6856.02687229376
"391",7090.2801672012
"392",7498.75617522149
"393",7895.85487923089
"394",8148.20612256923
"395",8308.58685461131
"396",8459.73901459392
"397",8313.93655068783
"398",8269.37789746328
"399",8211.96412252665
"400",8126.67395790703
"401",8050.51306404916
"402",7991.09044900152
"403",8095.62474290484
"404",8095.76081777286
"405",7898.71257989315
"406",7695.8792125362
"407",7509.87822747969
"408",7371.22387592644
"409",7198.32262853679
"410",7120.21145412449
"411",7109.9765082962
"412",7104.64476279254
"413",7014.77327907491
"414",7059.03242471251
"415",7285.67773415241
"416",7721.94221414618
"417",8154.46779168866
"418",8385.753887527
"419",8483.32367457327
"420",8595.13409774912
"421",8402.51319285175
"422",8323.33717546278
"423",8257.63624119662
"424",8127.91676607864
"425",8039.1613609091
"426",7982.6986876843
"427",8114.43387026105
"428",8187.78439528537
"429",8017.3261638541
"430",7799.60752243214
"431",7611.2660314138
"432",7464.12357039416
"433",7060.45458202729
"434",6951.28148496693
"435",6970.35140349773
"436",6960.36125628773
"437",6866.82733540742
"438",6916.82158002733
"439",7135.98520633987
"440",7563.40580321057
"441",7955.29251382803
"442",8160.66775172605
"443",8242.36035966109
"444",8322.98256837597
"445",8115.24260491421
"446",7990.34062488889
"447",7902.04471480746
"448",7783.28669084171
"449",7683.06779010545
"450",7647.09291159006
"451",7744.11999263027
"452",7840.89318947024
"453",7667.21149054777
"454",7443.1086127633
"455",7237.91161457247
"456",7069.17515022229
"457",6361.49316760794
"458",6351.60059754204
"459",6355.03513167087
"460",6345.56252522396
"461",6268.51199837497
"462",6328.91258463794
"463",6559.31545836469
"464",6965.25372061574
"465",7364.17185822886
"466",7560.8004726235
"467",7623.07062538231
"468",7710.95593050776
"469",7527.99335080195
"470",7442.49391815553
"471",7389.65352187604
"472",7277.31693655547
"473",7178.67738312134
"474",7117.1753710414
"475",7213.72304727664
"476",7250.09125779307
"477",7049.98062941205
"478",6783.4636103342
"479",6579.93135404563
"480",6439.63658262643
"481",6256.65726270582
"482",6170.94483346555
"483",6163.8834706002
"484",6147.4057771347
"485",6056.17965351573
"486",6105.05338694023
"487",6317.80343954325
"488",6752.35261485187
"489",7146.43543575765
"490",7392.02934800673
"491",7533.04758715268
"492",7663.0390143554
"493",7506.06822375757
"494",7428.62806233632
"495",7387.36711799507
"496",7279.35045580208
"497",7166.89271638994
"498",7110.64569960889
"499",7182.35369204744
"500",7205.07223789384
"501",6985.59146823604
"502",6759.26773697831
"503",6556.84814187836
"504",6387.52514506222
"505",6698.91813938677
"506",6656.76841517041
"507",6636.58850678316
"508",6634.69026019148
"509",6562.672013172
"510",6592.66656122341
"511",6844.6677256546
"512",7256.25431764484
"513",7674.32083259671
"514",7883.24078825118
"515",8001.84689336702
"516",8126.78321116005
"517",7946.17066871969
"518",7886.15494051768
"519",7841.52887205351
"520",7747.56079917531
"521",7661.96847658399
"522",7619.44320270076
"523",7684.93634882209
"524",7759.94193675004
"525",7554.88365816459
"526",7321.06387013851
"527",7107.65046107215
"528",6972.35925099538
"529",6933.24471005387
"530",6870.26095680536
"531",6861.76421408619
"532",6860.69531948641
"533",6808.98282997772
"534",6864.99267283206
"535",7106.63398239252
"536",7537.02740952561
"537",7934.4433456061
"538",8100.78959680835
"539",8118.23222711011
"540",8162.91878998146
"541",7937.66896103755
"542",7801.23750771756
"543",7717.25449253914
"544",7615.02391605418
"545",7529.49924068901
"546",7513.29213626133
"547",7572.22077764762
"548",7619.159439456
"549",7425.07041373223
