"","x"
"372",8066.99916581416
"373",7857.49015545245
"374",7953.19335903619
"375",7935.83715656966
"376",7896.36742811541
"377",7818.66096110142
"378",7762.74373859323
"379",7822.8652009059
"380",7982.8545829272
"381",7747.35162440824
"382",7434.01489637851
"383",7143.92135417638
"384",6993.13133674425
"385",6725.9118486704
"386",6612.1928762403
"387",6602.12523659032
"388",6601.22767549574
"389",6436.71052465961
"390",6464.61095044576
"391",6633.57781885299
"392",7241.46397471699
"393",7838.87716703814
"394",8065.36770936607
"395",8004.24365531278
"396",8227.60196625355
"397",7881.30866225213
"398",7923.55169716268
"399",7844.9928188358
"400",7641.08698535915
"401",7529.82965386749
"402",7562.39822778391
"403",7655.33317293737
"404",7632.08321819605
"405",7680.84088069114
"406",7150.34526060269
"407",7008.46542741177
"408",6845.13992215282
"409",6752.67988201758
"410",6623.79160036474
"411",6620.72908626504
"412",6611.72032716487
"413",6545.27493403269
"414",6514.55351968753
"415",6652.18166852771
"416",6783.35059615414
"417",7109.77603692492
"418",7327.04930879196
"419",7534.33217055998
"420",7367.24690477717
"421",7421.3518295971
"422",7295.84054211932
"423",7274.06004983157
"424",7146.84190658958
"425",7098.26201423202
"426",7122.71939014285
"427",7397.78759960363
"428",7545.97887543498
"429",7210.19201430146
"430",6968.01261422986
"431",6985.77590542168
"432",6793.69251632473
"433",6600.57988275649
"434",6516.16676302958
"435",6579.83728706677
"436",6612.49059044985
"437",6454.60987434557
"438",6430.15620391383
"439",6515.79894735455
"440",6877.76832732183
"441",7104.64724711493
"442",7269.56642276407
"443",7431.86900468291
"444",7316.40045348113
"445",7117.95216767249
"446",7175.3115261389
"447",6973.97860527288
"448",6933.03411354489
"449",6881.87338545828
"450",6965.32129231884
"451",7266.19785907013
"452",7328.85286502437
"453",7064.96071348584
"454",7037.72806056235
"455",6840.17591378762
"456",6556.65720171858
"457",6577.75393366158
"458",6526.55981372412
"459",6545.61874873057
"460",6635.41912897121
"461",6549.06443164349
"462",6597.98023408048
"463",6698.00191944021
"464",7440.09153321486
"465",7904.03864926223
"466",8039.09386861806
"467",8232.36647928552
"468",8283.17748719831
"469",7723.04350850408
"470",7791.83228234201
"471",7616.67640958493
"472",7662.7429510078
